NAME,ADDRESS,STATE,LATITUDE,LONGITUDE,TELEPHONE
PIEDMONT HOSPITAL,1968 PEACHTREE RD NW,GA,33.80881537,-84.39441534,(404) 605-5000
PIEDMONT MACON MEDICAL CENTER,350 HOSPITAL DRIVE,GA,32.84740818,-83.61868521,(478) 765-7000
PIEDMONT MACON NORTH HOSPITAL,400 CHARTER BOULEVARD,GA,32.87159196,-83.69471087,(478) 757-8200
PIEDMONT MOUNTAINSIDE HOSPITAL INC,1266 HIGHWAY 515 SOUTH,GA,34.45824868,-84.41291289,(706) 301-5269
"PIEDMONT NEWNAN HOSPITAL, INC",745 POPLAR ROAD,GA,33.35712855,-84.75501904,(770) 400-2300
PIEDMONT NEWTON HOSPITAL,5126 HOSPITAL DRIVE NE,GA,33.60134,-83.84843,(770) 786-7053
PIEDMONT ROCKDALE HOSPITAL,1412 MILSTEAD AVENUE NE,GA,33.68072383,-84.00157525,(770) 918-3000
"PIEDMONT WALTON HOSPITAL, INC",2151 W SPRING STREET,GA,33.79894478,-83.75014125,(770) 267-8461
POLK MEDICAL CENTER,2360 ROCKMART HIGHWAY,GA,34.01381687,-85.19627158,(770) 748-2500
PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,GA,33.3358662,-83.37094562,(706) 485-2711
REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,GA,34.27679339,-85.19492929,(706) 802-3012
"REGENCY HOSPITAL COMPANY OF MACON, LLC",535 COLISEUM DRIVE,GA,32.84770524,-83.61527747,(478) 803-7300
REGIONAL PSYCHIATRIC DIVISION - CENTRAL STATE,620 BROAD STREET,GA,33.029681,-83.203857,(478) 445-4128
REHABILITATION HOSPITAL OF HENRY,2200 PATRICK HENRY PARKWAY,GA,33.48692147,-84.2147095,(470) 713-2000
REHABILITATION HOSPITAL OF NEWNAN,2101 EAST NEWNAN CROSSING BLVD,GA,33.3628746,-84.75162672,(678) 552-6200
RIDGEVIEW INSTITUTE,3995 S COBB DRIVE SE,GA,33.85644329,-84.51105483,(770) 434-4567
RIDGEVIEW INSTITUTE MONROE,709 BREEDLOVE DRIVE,GA,33.78317031,-83.71857923,(678) 635-8730
RIVERWOODS BEHAVIORAL HEALTH SYSTEM,223 MEDICAL CENTER DRIVE,GA,33.58221296,-84.39071671,(770) 991-8500
ROOSEVELT WARM SPRINGS LTAC HOSPITAL,"6135 ROOSEVELT HIGHWAY, PO BOX 280",GA,32.88798074,-84.6923449,(706) 655-5515
ROOSEVELT WARM SPRINGS REHABILITATION HOSPITAL,"6135 ROOSEVELT HIGHWAY, PO BOX 280",GA,32.88732639,-84.69407001,(706) 655-5515
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,GA,33.90875798,-84.3489835,(678) 843-5720
"SELECT SPECIALTY HOSPITAL - AUGUSTA, INC",1537 WALTON WAY,GA,33.47633313,-81.99031409,(706) 731-1200
"SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA, LLC",705 JUNIPER STREET NE,GA,33.77377717,-84.38275435,(404) 873-2871
"SELECT SPECIALTY HOSPITAL - SAVANNAH, INC",5353 REYNOLDS STREET 4 SOUTH,GA,32.02790058,-81.10031062,(912) 819-7986
SGMC BERRIEN CAMPUS,1221 E MCPHERSON AVENUE,GA,31.20307104,-83.23870728,(229) 543-7100
SGMC LANIER CAMPUS,116 WEST THIGPEN AVENUE,GA,31.04223522,-83.08605202,(229) 482-8402
SHEPHERD CENTER,2020 PEACHTREE RD NW,GA,33.81006102,-84.39376186,(404) 350-7311
SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,5454 YORKTOWNE DRIVE,GA,33.60699354,-84.45218911,(770) 991-6044
SO CRESCENT BEH HLTH SYS - CRESCENT PINES CAMPUS,1000 EAGLES LANDING PARKWAY,GA,33.51297678,-84.2217832,(770) 474-8888
SOUTH GEORGIA MEDICAL CENTER,"2501 NORTH PATTERSON STREET, PO BOX 1727",GA,30.86227044,-83.28647036,(229) 333-1020
SOUTHEAST GEORGIA HEALTH SYSTEM - BRUNSWICK CAMPUS,2415 PARKWOOD DRIVE,GA,31.17508058,-81.48431293,(912) 466-7000
SOUTHEAST GEORGIA HEALTH SYSTEM - CAMDEN CAMPUS,2000 DAN PROCTOR DRIVE,GA,30.78090229,-81.61510891,(912) 576-6401
SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PARKWAY NORTH,GA,33.38483465,-84.75774669,(404) 844-8334
SOUTHERN CROSS SURGERY CENTER,"1301 SIGMAN ROAD NE, SUITE 120",GA,33.6824801,-83.9957983,(222) 333-4444
SOUTHERN REGIONAL MEDICAL CENTER,11 UPPER RIVERDALE ROAD SW,GA,33.57901979,-84.38995142,(770) 991-8160
SOUTHWELL MEDICAL - A CAMPUS OF TRMC,260 MJ TAYLOR ROAD,GA,31.10819893,-83.42737285,(229) 896-8077
ST FRANCIS HOSPITAL - EMORY HEALTHCARE,2122 MANCHESTER EXPRESSWAY,GA,32.50638542,-84.96067899,(706) 596-4020
ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,GA,31.98543032,-81.15455637,(912) 819-4100
ST MARY'S GOOD SAMARITAN HOSPITAL,5401 LAKE OCONEE PARKWAY,GA,33.48143224,-83.24222511,(706) 453-7331
ST MARY'S HOSPITAL,1230 BAXTER STREET,GA,33.94722132,-83.40525246,(706) 389-3930
"ST MARY'S SACRED HEART HOSPITAL, INC",367 CLEAR CREEK PARKWAY,GA,34.43972191,-83.13239384,(706) 356-7800
ST SIMONS - BY THE SEA,2927 DEMERE ROAD,GA,31.16402605,-81.40232648,(912) 638-1999
STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,GA,34.59286194,-83.34807369,(706) 282-4250
SUMMITRIDGE CENTER - PSYCHIATRY AND ADDICTIVE MED,250 SCENIC HIGHWAY,GA,33.94238602,-83.98959993,(678) 442-5800
TANNER MEDICAL CENTER - CARROLLTON,705 DIXIE STREET,GA,33.56947772,-85.0752262,(770) 836-9580
TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,GA,33.74428376,-84.91667102,(770) 456-3101
TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,GA,32.29784992,-83.48511633,(478) 783-0200
TIFT REGIONAL MEDICAL CENTER,901 E 18TH STREET,GA,31.47134618,-83.49143696,(229) 382-7120
TURNING POINT HOSPITAL,3015 VETERANS PARKWAY,GA,31.127625,-83.770096,(229) 985-4815
UNION GENERAL HOSPITAL,35 HOSPITAL ROAD,GA,34.8861,-83.9623,(706) 745-2111
UNIVERSITY HOSPITAL,1350 WALTON WAY,GA,33.47068485,-81.98251057,(706) 722-9011
UNIVERSITY HOSPITAL MCDUFFIE,2460 WASHINGTON ROAD,GA,33.52306854,-82.50193876,(706) 595-1411
UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,GA,32.8862977,-84.33650699,(706) 647-8111
VERITAS COLLABORATIVE GEORGIA,"41 PERIMETER CENTER EAST, SUITE 400",GA,33.9242473,-84.33106507,(770) 871-3750
WALTON REHAB HOSPITAL - AFFILIATE OF ENCOMPASS HLTH,1355 INDEPENDENCE DRIVE,GA,33.47470392,-81.98030553,(706) 724-7746
WARM SPRINGS MEDICAL CENTER,5995 SPRING STREET,GA,32.8896319,-84.68374246,(706) 655-9351
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,610 SPARTA ROAD,GA,32.99585948,-82.80411552,(478) 240-2100
WAYNE MEMORIAL HOSPITAL,865 SOUTH FIRST STREET,GA,31.60095713,-81.89990856,(912) 530-3302
WELLSTAR ATLANTA MEDICAL CENTER,303 PARKWAY DRIVE NE,GA,33.76295,-84.37339,(404) 265-4000
WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,GA,33.85754197,-84.6050249,(770) 732-4000
WELLSTAR DOUGLAS HOSPITAL,8954 HOSPITAL DRIVE,GA,33.73911793,-84.73152391,(770) 949-1500
WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,GA,33.96795254,-84.55135211,(770) 793-5000
WELLSTAR NORTH FULTON HOSPITAL,3000 HOSPITAL BOULEVARD,GA,34.06332132,-84.31997247,(770) 751-2500
WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,GA,33.9007283,-84.78072591,(470) 644-7000
WELLSTAR SPALDING REGIONAL HOSPITAL,601 SOUTH 8TH STREET,GA,33.23923023,-84.26769905,(770) 228-2721
WELLSTAR SYLVAN GROVE HOSPITAL,1050 MCDONOUGH ROAD,GA,33.30381367,-83.97778738,(770) 775-7861
WELLSTAR WEST GEORGIA MEDICAL CENTER,1514 VERNON ROAD,GA,33.03159067,-85.05795342,(706) 882-1411
WELLSTAR WINDY HILL HOSPITAL,2540 WINDY HILL ROAD,GA,33.89976139,-84.4794458,(770) 644-1081
WEST CENTRAL GEORGIA REGIONAL HOSPITAL,"3000 SCHATULGA RD, PO BOX 12435",GA,32.49019081,-84.8685576,(706) 568-5203
WILLINGWAY HOSPITAL,311 JONES MILL ROAD,GA,32.4442835,-81.7577227,(912) 764-6236
WILLS MEMORIAL HOSPITAL,120 GORDON STREET,GA,33.72860629,-82.74239942,(706) 678-9212
ATLANTA VA MEDICAL CENTER,1670 CLAIRMONT ROAD,GA,33.801861,-84.311425,(404) 321-6111
CHARLIE NORWOOD DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,950 15TH STREET,GA,33.464616,-82.025447,(706) 733-0188
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,GA,30.84527535,-82.00505739,NOT AVAILABLE
BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,GA,34.28325037,-83.11897237,(706) 245-1900
STEWART WEBSTER HOSPITAL,580 ALSTON STREET,GA,32.08616827,-84.66069977,(229) 887-3366
WEST PACES MEDICAL CENTER,3200 HOWELL MILL ROAD,GA,33.84252443,-84.42708736,(404) 351-0351
YOUTH VILLAGES - INNER HARBOUR CAMPUS,4685 DORSETT SHOALS ROAD,GA,33.67768895,-84.73391954,(770) 489-0406
EMORY UNIVERSITY HOSPITAL - WESLEY WOODS GERIATRIC HOSPITAL,"1821 CLIFTON ROAD, NE",GA,33.80487845,-84.33140996,NOT AVAILABLE
SOUTHERN CRESCENT HOSPITAL FOR SPECIALTY CARE,11 UPPER RIVERDALE ROAD SW,GA,33.5793287,-84.3891338,NOT AVAILABLE
MIDTOWN MEDICAL CENTER WEST,616 19TH STREET,GA,32.48010887,-84.98509377,(706) 494-4262
MOUNTAIN LAKES MEDICAL CENTER,196 RIDGECREST CIRCLE,GA,34.88366763,-83.41469014,NOT AVAILABLE
EMORY UNIVERSITY HOSPITAL,1821 CLIFTON ROAD NE,GA,33.80481896,-84.33117202,NOT AVAILABLE
SOUTHWEST GEORGIA REGIONAL MEDICAL,361 RANDOLPH STREET,GA,31.77536552,-84.7934916,NOT AVAILABLE
PHOEBE NORTH,2000 PALMYRA ROAD,GA,31.60659256,-84.16941454,(229) 434-2000
EAST CENTRAL REGIONAL HOSPITAL - GRACEWOOD,100 MYRTLE BOULEVARD,GA,33.36897079,-82.02964375,NOT AVAILABLE
CHILDREN'S HOSPITAL NAVICENT HEALTH,888 PINE STREET,GA,32.83472905,-83.63666986,(478) 633-5437
RINCON MEDICAL CENTER,119 CHIMNEY ROAD,GA,32.25822576,-81.21737345,(912) 295-5560
"WELLSTAR ATLANTA MEDICAL CENTER , INC",1170 CLEVELAND AVE,GA,33.68027171,-84.42689474,NOT AVAILABLE
MORGAN MEMORIAL HOSPITAL,1077 SOUTH MAIN STREET,GA,33.58493524,-83.48056681,NOT AVAILABLE
LAKE BRIDGE BEHAVIORAL HEALTH SYSTEM,3500 RIVERSIDE DRIVE,GA,32.89557107,-83.68259834,NOT AVAILABLE
COLISEUM PSYCHIATRIC HOSPITAL,340 HOSPITAL DRIVE,GA,32.84718953,-83.61985197,(478) 765-7000
CARL VINSON VA MEDICAL CENTER,1826 VETERANS BLVD,GA,32.53648137,-82.9432264,(478) 272-1210
TRINITY HOSPITAL OF AUGUSTA,2260 WRIGHTSBORO ROAD,GA,33.46572907,-82.0183653,(706) 481-7000
HILLSIDE HOSPITAL,690 COURTENAY DRIVE NE,GA,33.79088124,-84.36541034,(404) 875-4551
CALHOUN MEMORIAL HOSPITAL,55 R E JENNINGS AVE SE,GA,31.43600381,-84.72154643,NOT AVAILABLE
COOK MEDICAL CENTER,706 NORTH PARRISH AVENUE,GA,31.14456949,-83.42453855,(229) 896-8077
WILDWOOD LIFESTYLE CENTER AND HOSPITAL,435 LIFESTYLE LANE,GA,34.98075749,-85.40189129,NOT AVAILABLE
NORTH GEORGIA MEDICAL CENTER,1362 SOUTH MAIN STREET,GA,34.67856195,-84.49337651,NOT AVAILABLE
PRIDE MEDICAL,3280 HOWELL MILL ROAD NW,GA,33.84329175,-84.42860127,(404) 355-3788
SOUTHWESTERN STATE HOSPITAL,400 SOUTH PINE TREE BLVD,GA,30.80828659,-83.99389357,NOT AVAILABLE
SGMC SMITH NORTHVIEW HOSPITAL,4280 NORTH VALDOSTA ROAD,GA,30.89863693,-83.33555852,(229) 433-8000
NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE,GA,34.21939857,-83.46900739,NOT AVAILABLE
TY COBB HEALTHCARE SYSTEM - HART COUNTY HOSPITAL,GIBSON AND CADE STREETS,GA,34.34663565,-82.93947389,(706) 356-7800
GLANCYREHABILITATION HOSPITAL,3215 MCCLURE BRIDGE ROAD,GA,34.0068349,-84.15290664,NOT AVAILABLE
"DEVEREUX FOUNDATION, INC.",1291 STANLEY ROAD NW,GA,33.98626215,-84.60626393,(770) 427-0147
EMORY DUNWOODY MEDICAL CENTER,4500 NORTH SHALLOWFORD ROAD,GA,33.92502326,-84.30876592,(404) 778-6920
BRADLEY CENTER OF SAINT FRANCIS,2000 SIXTEENTH AVENUE,GA,32.48269659,-84.96811113,(706) 320-3700
NORTHEAST GEORGIA MEDICAL CENTER INC.,1400 RIVER PLACE,GA,34.120536,-83.8377,(770) 848-8000
HUGHES SPALDING CHILDRENS HOSP,35 JESSE HILL JR DR SE,GA,33.753896,-84.382067,(404) 785-5437
